Rank,Title_Lengths,Age_Hours,Points,Comments
18,67,24,48,1
19,72,24,423,1
20,61,4,12,0
21,48,6,25,2
22,60,13,122,2
23,93,9,53,4
24,37,12,186,6
25,46,4,21,0
26,75,21,99,2
27,101,24,205,6
28,44,24,211,1
29,55,21,101,1
30,67,24,168,6
31,99,21,215,1
32,62,24,517,1
33,94,14,76,5
34,89,4,57,2
35,51,20,231,8
36,44,17,86,1
37,45,4,49,1
38,79,24,780,2
39,89,0,23,5
40,88,16,89,7
41,57,24,101,3
42,90,2,113,2
43,81,21,61,5
44,37,2,6,0
45,27,24,83,4
46,41,22,85,3
47,64,24,75,2
48,53,24,235,4
49,44,48,162,6
50,38,21,191,2
51,89,8,78,4
52,94,48,149,2
53,74,8,13,1
54,75,48,547,1
55,39,24,167,1
56,49,24,123,1
57,72,48,816,2
58,74,24,389,8
59,63,24,163,8
60,46,12,5,0
61,94,24,210,7
62,50,5,42,4
63,75,14,51,7
64,91,24,137,2
65,88,23,20,0
66,80,48,111,2
67,61,24,154,1
68,90,24,84,5
69,69,15,92,8
70,100,24,138,3
71,84,1,33,6
72,60,24,256,2
73,53,22,176,6
74,54,23,77,3
75,57,1,13,0
76,93,24,80,2
77,43,48,87,2
78,34,48,378,4
79,80,24,181,5
80,72,48,242,6
81,72,24,90,4
82,73,48,434,7
83,55,48,127,4
84,76,14,15,3
85,75,48,158,1
86,63,22,55,5
87,74,1,42,8
88,81,21,62,2
89,69,48,68,2
90,72,24,11,0
91,84,24,24,5
92,39,18,8,3
93,61,48,347,8
94,93,5,106,7
95,75,3,211,1
96,93,24,37,2
97,59,24,31,1
98,35,48,260,3
99,85,48,813,2
100,19,20,54,4
101,51,21,52,6
102,93,48,1009,1
103,56,24,105,7
104,70,11,41,3
105,53,2,258,2
106,101,24,15,0
107,88,48,178,1
108,101,24,11,0
109,63,8,16,6
110,35,12,44,1
111,68,24,45,2
112,68,24,192,1
113,83,24,57,9
114,72,4,107,8
115,42,48,182,4
116,64,24,9,0
117,71,24,116,3
118,38,24,31,0
119,62,48,27,2
120,83,3,170,1
121,83,3,170,1
122,88,21,26,3
123,95,24,8,0
124,56,24,313,2
125,92,2,6,5
126,59,24,169,1
127,58,24,151,1
128,87,48,22,0
129,81,24,29,0
130,57,12,117,1
131,54,24,34,6
132,67,4,66,7
133,62,5,160,1
134,41,48,148,2
135,66,10,5,0
136,43,18,13,0
137,68,24,36,7
138,37,5,8,3
139,73,4,32,3
140,95,21,433,2
141,59,24,87,1
142,67,24,95,2
143,56,16,11,3
144,61,48,352,6
145,58,24,91,4
146,40,3,19,1
147,89,24,13,0
148,73,24,115,3
149,82,3,14,2
150,41,19,20,4
1,58,2,174,1
2,48,2,177,5
3,51,1,28,6
4,77,2,60,2
5,46,4,51,1
6,47,0,8,0
7,79,0,0,0
8,97,2,34,6
9,51,1,96,2
10,76,1,6,0
11,40,2,21,4
12,94,1,51,4
13,77,3,199,1
14,57,21,520,7
15,98,8,55,3
16,52,2,7,0
17,43,16,605,4
18,61,5,16,0
19,67,24,55,1
20,72,24,424,1
21,93,4,218,1
22,48,6,29,4
23,93,9,57,5
24,59,2,5,0
25,60,14,122,2
26,89,1,30,9
27,37,12,192,6
28,46,4,26,0
29,75,21,100,3
30,101,24,206,6
31,44,24,212,1
32,55,21,102,1
33,67,24,169,6
34,99,22,216,1
35,62,24,517,1
36,89,4,59,2
37,51,21,233,8
38,44,17,86,1
39,79,1,4,0
40,94,14,76,5
41,45,5,49,1
42,79,24,782,2
43,88,16,89,7
44,57,24,102,3
45,90,3,117,2
46,81,21,61,5
47,89,3,23,3
48,27,24,83,4
49,84,0,15,2
50,37,2,7,0
51,41,22,85,3
52,64,24,76,2
53,53,24,235,4
54,44,48,163,6
55,38,21,191,2
56,89,8,79,4
57,94,48,149,2
58,75,48,547,1
59,49,24,123,1
60,72,48,816,2
1,58,2,174,1
2,48,2,177,5
3,51,1,28,6
4,77,2,60,2
5,46,4,51,1
6,47,0,8,0
7,79,0,0,0
8,97,2,34,6
9,51,1,96,2
10,76,1,6,0
11,40,2,21,4
12,94,1,51,4
13,77,3,199,1
14,57,21,520,7
15,98,8,55,3
16,52,2,7,0
17,43,16,605,4
18,61,5,16,0
19,67,24,55,1
20,72,24,424,1
21,93,4,218,1
22,48,6,29,4
23,93,9,57,5
24,59,2,5,0
25,60,14,122,2
26,89,1,30,9
27,37,12,192,6
28,46,4,26,0
29,75,21,100,3
30,101,24,206,6
31,44,24,212,1
32,55,22,102,1
33,67,24,169,6
34,99,22,216,1
35,62,24,518,1
36,89,4,60,2
37,51,21,233,8
38,44,17,86,1
39,94,14,77,5
40,79,1,4,0
41,79,24,782,2
42,45,5,50,1
43,88,16,89,7
44,57,24,102,3
45,81,21,61,5
46,90,3,118,2
47,89,3,23,3
48,27,24,83,4
49,84,0,15,2
50,41,23,85,3
51,37,2,7,0
52,64,24,76,2
53,53,24,235,4
54,44,48,163,6
55,38,21,191,2
56,89,8,79,4
57,94,48,149,2
58,75,48,547,1
59,49,24,124,1
60,72,48,817,2
61,39,24,167,1
62,74,24,389,8
63,74,9,14,1
64,63,24,163,8
65,46,12,5,0
66,94,24,210,7
67,75,14,52,7
68,91,24,137,2
69,50,5,45,4
70,88,24,20,0
71,80,48,111,2
72,61,24,154,1
73,87,1,3,0
74,90,48,84,5
75,100,24,138,3
76,69,15,93,8
77,60,24,256,2
78,53,22,177,6
79,54,23,77,3
80,93,24,80,2
81,43,48,87,2
82,34,48,378,4
83,84,2,35,7
84,80,24,181,5
85,76,14,16,3
86,72,48,242,6
87,72,24,90,4
88,55,48,128,4
89,73,48,434,7
90,57,1,15,0
91,75,48,158,1
92,81,21,63,2
93,63,22,55,5
94,69,48,69,2
95,72,24,11,0
96,84,24,24,5
97,61,48,347,8
98,39,18,8,3
99,93,24,37,2
100,59,24,31,1
101,93,5,106,7
102,35,48,260,3
103,75,4,212,1
104,74,1,43,8
105,85,48,816,2
106,19,21,54,4
107,93,48,1009,1
108,51,21,53,6
109,56,24,105,7
110,88,48,178,1
111,101,24,15,0
112,101,24,11,0
113,68,48,45,2
114,35,12,44,1
115,63,8,16,6
116,68,24,192,1
117,83,24,57,9
118,42,48,182,4
119,64,24,9,0
120,53,3,259,2
121,71,24,116,3
122,72,4,107,8
123,38,24,31,0
124,62,48,27,2
125,47,72,178,1
126,95,24,8,0
127,88,21,26,3
128,56,48,313,2
129,58,24,151,1
130,59,24,169,1
131,87,48,22,0
132,81,24,29,0
133,83,3,171,1
134,54,24,34,6
135,41,48,148,2
136,92,2,8,5
137,57,13,117,1
138,68,24,36,7
139,43,18,13,0
140,66,10,5,0
141,95,21,433,2
142,67,24,95,2
143,59,24,87,1
144,67,4,67,7
145,37,5,8,3
146,73,4,33,3
147,61,48,352,6
148,56,16,11,3
149,58,24,91,4
150,89,24,13,0
1,58,2,174,1
